ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
37,NORTH CAROLINA,NC,Currituck,37053,"Currituck County, North Carolina",261.9377042,25796,0,15557,47,10148,239,2562,567,608,198,30017,1409,1980,355,3996,112,5742,28,3711,393,854,213,3304,74,83,121,76,55,2228,211,196,98,270,113,134,95,10.0,2.2,4.8,1.5,30017.0,1409.0,10.8,1.9,15.5,0.4,22.3,0.1,14.6,1.5,8.4,2.1,12.8,0.3,0.3,0.5,0.5,0.4,14.3,1.4,1.9,1.0,2.7,1.1,0.5,0.4,0.0404,0.1212,0.1515,0.1717,0.4848,0.0808,0.1818,0.6465,0.2121,0.4848,1.5252,0.1111,0.1616,0.0404,0.202,0.0505,0.0606,0.2424,0.3232,0.0303,0.0303,0.6868,0.0,2.8988,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464,538,13.7,2.1,20263
37,NORTH CAROLINA,NC,Dare,37055,"Dare County, North Carolina",383.2252969,35741,0,34515,64,15441,479,2929,525,1000,250,33550,1664,1793,296,7181,85,6909,86,4775,461,965,259,4447,51,703,306,1582,272,1925,341,427,187,486,160,177,111,8.2,1.5,5.2,1.3,33550.0,1664.0,6.7,1.1,20.1,0.2,19.3,0.2,13.4,1.3,6.2,1.7,12.4,0.1,2.1,0.9,4.6,0.8,5.6,1.0,2.8,1.2,3.1,1.0,0.5,0.3,0.0,0.1515,0.0606,0.0,0.2121,0.0101,0.6768,0.2727,0.1212,0.1818,1.2525,0.0505,0.1111,0.7071,0.8182,0.3535,0.798,0.0606,0.8182,0.0505,0.0303,1.7576,0.1818,4.0404,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5293,790,14.9,2.2,37294
37,NORTH CAROLINA,NC,Haywood,37087,"Haywood County, North Carolina",553.5597741,60433,0,35398,85,26336,566,8304,1130,1319,279,29453,1201,5383,477,14548,86,11069,89,10530,625,2001,299,4300,66,430,157,593,169,6397,625,428,143,1176,236,504,121,13.9,1.9,4.7,1.0,29453.0,1201.0,11.9,1.1,24.1,0.1,18.3,0.1,17.6,1.0,7.6,1.1,7.1,0.1,0.7,0.3,1.7,0.5,18.1,1.8,1.6,0.5,4.5,0.9,0.8,0.2,0.2222,0.101,0.202,0.2828,0.808,0.1515,0.8788,0.1515,0.5859,0.3232,1.9394,0.4848,0.0202,0.1818,0.202,0.0505,0.4444,0.4141,0.1818,0.1919,0.0909,1.3231,0.0505,4.2725,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453,771,10.8,1.3,47678
37,NORTH CAROLINA,NC,Clay,37043,"Clay County, North Carolina",214.9833341,10813,0,7309,38,5062,291,1700,447,105,83,26590,3068,958,240,3172,56,1889,98,1986,267,174,114,680,19,46,87,116,82,1437,273,34,44,349,146,41,37,15.8,4.1,2.3,1.8,26590.0,3068.0,11.5,2.9,29.3,0.5,17.5,0.9,18.4,2.5,3.4,2.2,6.3,0.2,0.4,0.8,1.6,1.1,19.7,3.7,0.7,0.9,6.9,2.8,0.4,0.3,0.3939,0.0,0.303,0.2323,0.9292,0.1717,0.9798,0.0909,0.6667,0.0101,1.7475,0.3131,0.0101,0.0606,0.0707,0.0,0.404,0.4747,0.0101,0.6364,0.0101,1.5353,0.1111,4.2827,0.0303,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1570,353,14.6,3.3,8132
37,NORTH CAROLINA,NC,Union,37179,"Union County, North Carolina",632.6878133,226694,0,79644,124,75165,591,19921,1497,6213,608,34379,831,14675,800,27269,68,62740,31,21112,1048,5828,525,62132,164,5613,552,1301,254,4666,445,1851,300,1923,293,2224,301,8.9,0.7,5.3,0.5,34379.0,831.0,10.2,0.6,12.0,0.1,27.7,0.0,9.4,0.5,7.8,0.7,27.4,0.1,2.6,0.3,1.6,0.3,5.9,0.6,2.5,0.4,2.6,0.4,1.0,0.1,0.0101,0.1818,0.0404,0.1414,0.3737,0.0505,0.0606,0.9899,0.0303,0.3636,1.4444,0.0707,0.4444,0.8081,1.2525,0.6869,0.404,0.0707,0.6465,0.0202,0.1717,1.3131,0.0303,4.3837,0.0404,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,21183,1505,9.4,0.7,169933
37,NORTH CAROLINA,NC,Transylvania,37175,"Transylvania County, North Carolina",378.4345911,33513,0,19560,137,14123,510,4776,615,829,255,27050,1503,2900,341,9725,88,5373,45,5377,483,796,218,3249,50,316,165,254,127,2737,376,265,112,587,162,1273,290,14.7,1.9,5.8,1.7,27050.0,1503.0,11.4,1.3,29.0,0.3,16.0,0.1,16.3,1.5,5.6,1.5,9.7,0.1,1.0,0.5,1.3,0.6,14.0,1.9,1.9,0.8,4.2,1.1,3.8,0.9,0.303,0.2828,0.2525,0.2121,1.0504,0.2121,0.9697,0.0404,0.4444,0.0909,1.5454,0.1212,0.0909,0.303,0.3939,0.101,0.303,0.2121,0.3232,0.1515,0.7576,1.7474,0.1616,4.7371,0.0505,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4786,562,14.5,1.7,28321
37,NORTH CAROLINA,NC,Camden,37029,"Camden County, North Carolina",240.328681,10447,0,4228,23,3836,172,1172,339,460,174,26951,2303,1042,254,1782,86,2491,66,1402,266,317,118,2047,19,72,85,73,69,662,158,26,33,74,66,33,47,11.2,3.2,9.3,3.6,26951.0,2303.0,14.4,3.5,17.1,0.8,23.8,0.6,13.6,2.6,8.3,3.1,19.6,0.2,0.7,0.9,1.7,1.6,15.7,3.7,0.7,0.9,1.9,1.7,0.3,0.4,0.0808,0.8788,0.2828,0.4141,1.6565,0.404,0.3434,0.8485,0.1414,0.4545,1.7878,0.3535,0.3434,0.1818,0.5252,0.1515,0.4444,0.3131,0.0101,0.0101,0.0,0.7777,0.0101,4.7472,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,213,8.1,2.1,6795
37,NORTH CAROLINA,NC,Lincoln,37109,"Lincoln County, North Carolina",295.8411571,81441,0,35227,78,32022,452,11593,1264,2584,399,29089,860,8357,606,13761,120,17562,34,12140,731,2634,389,12168,100,775,249,526,198,7410,537,634,175,980,246,739,160,14.4,1.6,6.4,1.0,29089.0,860.0,14.4,1.1,16.9,0.1,21.6,0.0,15.0,0.9,8.2,1.2,14.9,0.1,1.0,0.3,1.5,0.6,21.0,1.5,2.0,0.5,3.1,0.8,0.9,0.2,0.2727,0.4343,0.2121,0.4141,1.3332,0.2424,0.2929,0.5455,0.2525,0.4242,1.5151,0.0909,0.2222,0.303,0.5252,0.1515,0.3535,0.5253,0.3636,0.0505,0.1313,1.4242,0.0808,4.7977,0.0707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7929,776,9.8,1.0,64728
37,NORTH CAROLINA,NC,Stokes,37169,"Stokes County, North Carolina",449.0134653,45905,0,22186,57,19302,414,6166,771,1400,316,25091,1408,5529,524,9098,112,8920,58,6978,571,1603,331,4022,75,47,105,220,104,5530,505,291,111,629,188,528,119,13.6,1.7,6.3,1.4,25091.0,1408.0,16.5,1.5,19.8,0.2,19.4,0.1,15.4,1.2,8.3,1.7,8.8,0.2,0.1,0.2,1.0,0.5,24.9,2.3,1.5,0.6,3.3,1.0,1.2,0.3,0.1919,0.404,0.4444,0.596,1.6363,0.3939,0.6465,0.2828,0.2929,0.4545,1.6767,0.2222,0.0808,0.0101,0.0909,0.0202,0.2121,0.7374,0.1717,0.0707,0.2222,1.4141,0.0707,4.818,0.0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5895,688,13.0,1.5,31225
37,NORTH CAROLINA,NC,Macon,37113,"Macon County, North Carolina",515.5838316,34410,0,25557,79,15699,470,5679,915,650,173,28429,1511,2938,357,9653,120,6388,84,5999,463,900,205,3684,54,554,192,235,89,3507,405,328,129,846,205,360,154,16.6,2.7,4.5,1.2,28429.0,1511.0,11.4,1.4,28.1,0.3,18.6,0.2,17.5,1.4,5.7,1.3,10.7,0.2,1.7,0.6,0.9,0.4,13.7,1.6,2.1,0.8,5.4,1.3,1.0,0.4,0.4747,0.0808,0.2222,0.2121,0.9898,0.1919,0.9394,0.1919,0.5556,0.101,1.7879,0.3636,0.101,0.6263,0.7273,0.303,0.1616,0.202,0.3939,0.4242,0.1717,1.3534,0.0606,4.8584,0.0909,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4860,589,14.2,1.7,30816
